,username,review
63,Aliyatul Afidah,"Suasana liburan sudah terasa disini
Berkunjung awal Desember"
64,Diky Arista Aditya,Mall kesayangankuu
65,Andrian Pratama,"Berhati-hatilah bagi siapa pun yang membayar parkir dengan e-money di sini, karena mereka tidak akan peduli jika mereka memaksa Anda membayar dua kali karena kesalahan karyawan mereka dengan memasukkan kartu Anda ke edc terlebih dahulu atau mereka memiliki cara lain untuk menagih kartu Anda dua kali atau sesuatu yang lain, jadi lebih baik persiapkan uang tunai Anda"
66,Denis Ade,Tempatnya enak. Bersih dan semua yg ada disini termasuk lengkap
67,andi asiz,"Mal Tunjungan Plaza yg ada sejak masih sekolah, dan sekarang TP udah berseri dan semakin memanjang

Mal yg besar sampai2 kalo jalan dari TP-1 sampai TP-6 gak cukup seharian😄😄, mal yg bersih dan tertata baik, bahkan setiap TP ada musholla yg mewah👍👍 bisa jadi contoh untuk bangunan publik lainnya"
68,erlita asnar,"Naisss, cozyy bangettt"
69,Meymey Icha,"Mengawal bocil yang hobinya ke kkv,,,, sekarang berubah nama menjadi oh some,,, sedangkan mamak hobinya ke uniqlo,,, untungnya sebelahan,,, jadinya ga pegel2 banget klo jalan"
70,Rie Susbandayani,"Pelayanan nya oke bgt TP 6, display nya rapi dan bagus-bagus.
Terimakasih mas oscar 👍🏻👍🏻 …"
71,Patrice Aprilia,Bersih rapi
72,Arboy Jb,Seru
73,Muji Prasetyo Widodo,"Bintang 1, tidak ada teller, saya transaksi sendiri"
74,Adma Febri,Tempatnya luas
