

,username,review
23,Adetya Chandra,Tempat strategis menuju kota surabaya
24,Masus Azka,Mall
25,Yani Kris,Bagus
26,Budi Ono,Banyak toko yg tutup
27,Solichan As shiddiq,"Semakin hari semakin sepi, banyak toko yang tutup, namun masih beroperasi dengan baik. AC, eskalator, air di toilet, musholla, food court, dan bioskop masih beroperasi dengan semestinya."
28,Budiono Darmadji,Mall terlengkap disurabaya
29,Gabriel Brilliantanti,"City of Tomorrow bagus lengkap, dekat tol arah pulang, dekat bni, ada mainan anak2, toko lengkap , makanan juga lengkap enak juga."
30,Kartika Yuniar,Agak kosong
31,Lisa Andriani,"Mall sepi , kebanyakan udah tutup, not recomended"
32,tri hartoyo,"Sepi pengunjung, banyak tenant yg kosong"
33,Yosandi AL,mantap
34,abiL,"Mall ini sekarang kondisinya memprihatinkan, sudah ditinggal tenant/brand besar."
35,Puput Jupiter Han,"sedih karnaa yang buka sekarang cuma beberapaa ajaa, tapi pernah nonton bioskop di cito ini seru walapun udah sepi"
36,Yustina Andryastuti,mall mulai sepi
37,Amir Safrudin,Sudah tutup tenant²nya
38,Kyky Anggana,Mall yg menyenangkan..
39,PAMAN GOBER,"Lewat sini cuma buat jalan dari Tempat berhenti nya bus harapan jaya dan sejenisnya lalu, terus ke halte bus kota Surabaya, Terimakasih Cito🙏🏻 …"
40,Maman Akbar,"Horor..
Sepi..
Jangan parkir di basement, sepi bgt..
Tapi, AW-nya tetep kasih pelayanan yg keren.."
41,Aditya Dwi,Indah
42,Budhi Ongko,"dekat pintu tol, parkir luas dan beragam tenant"
43,Terminator Makanan,Sudah banyak yang kosong tenant tenant tdk ad yg sewa byk unit di jual sepii
44,Ardian Darmawan,cukup lengkap untuk memenuhi kebutuhan layanan
45,Rheza Pratama Pramudita,"Makin sepi, banyak stan2 yg tutup"
46,rajenndra09,"Sepi banget, banyak yang tutup, eskalator banyak yang mati"
47,Abyan Zaenal,"Mall nya kosong, sangat sedikit toko yang buka. Eskalator pun banyak yang tidak beroperasi. Berakhir hanya numpang sholat dan langsung ke bandara.

Semoga bisa bangkit dan ramai mall nya"
48,Percikan Hati,Wee datang mengunjungi mal ini dari tempat yang sangat jauh dan menemukan lebih dari 90 persen toko tutup. Saya tidak tahu bagaimana mereka mendapat 26 ribu ulasan positif.
49,Toha Saputra,Mantap
50,Widi Nugroho,Langganan makan sushi dan ramen yg uenaakk..inagi
51,Andreas Santoso Laymans,"Sepi, kurang terawat."
52,LPRA,"Mall nya sudah mau tutup.
Jarang ada aktivitas"
53,De Queena & Nu Dee,"Banyak yg udh tutup ,kadang eskalator mati jd turun manual"
54,Deni Stv,Sangat menyenangkan untuk kegiatan dan lomba antar sekolah.
55,Rahmat Carissa Citra,Mal multi toko adalah tempat yang bagus
56,Ifah Atmaja,Mall yang mulai sepi.. yag ramai hanya di foodcourt
57,Tikno Idris,Bagaimana kabarmu saat ini ? Sepertinya sdh mulai sepi. Yang pas dijadikan hotel saja pasti keren dan ramai di pintu masuk Kota Surabaya
58,Suwiyanto Suwiyanto,"😆, masih banyak pasar tumpah..
harga lebih murah 😆 …"
59,Gilang Pamungkas,"Tolong dong ac d foodcourt nya d dinginin masak kayak d pasarr gtu mall puanaas .
Kasihan org yg makan pengunjung yg d foodcourt ..
parahh bgt .."
60,Aqilah Zahsy,"Sekarang sangat sepi. Cinepolis tidak ada orang maupun pegawai sama sekali sampai 10.30 padahal Minggu.
Food court hanya ada kurang dari 10 pengunjung sampai siang."
61,Gani Kurniawan,Sayangnya. Banyak remaja yang dekat
62,Julianto Yul,Tempatnya sangat sepi
63,Christopher Arvin Lynn 37,Ramainya karena jadi tempat olahraga
64,dian dee,2025 sudah sepiii....
65,I Gusti Bagus Muliada Jelantik,Oke
66,Masykur Majazi,"Akibat pembayaran wajib pakai OVO,akhir mall ini sepi."
67,Aix Tox,Mainan nya sudah tutup di tahun 2025
68,Gita Barana,September
69,Ita Wahyuni,Makin Lama makin sepi pengunjung
70,Elty Wuysang,Mall nya bagus
71,Zain,gampang nyari nya...just orang luar Surabaya
72,Christian Handriono,Sdh tdk ada yoshinoya. Tdk ada supermarket
73,bias arsitek design,semakin sepi setelah badai covid melanda
74,jericho yusuf abdillah,Kotor dan kurang terawat
75,Sutama Wisnu Dyatmika,uda banyak yg tutup
76,edy anwar,"Tempat yang cocok untuk family time, mengisi liburan sekolah.
Sajian acaranya sangat luar biasa."
77,M. Hasbi Hizbi Samhudi,Tempat belanja
78,hwa san,"Bagaimana orang bisa memberikan bintang 3 dan 4 ini???  Pergi ke sana pada hari Sabtu dan lagi hari ini (berharap ada toko kelontong yang saya lewatkan = TIDAK)
Saya merasa kasihan pada vendor.  90% toko tutup.  Tidak ada pembeli nyata yang berjalan-jalan.  Bencana perencanaan total. Saya tinggal di apartemen di atasnya.  Rasanya hari ini adalah kali kedua dan terakhir kalinya aku pergi ke mal.  Terlalu menyedihkan"
79,Pebri Rizalludin,mall sangat panas dan bau
80,Quest Gamer (Mr . R),Nyaman buat ngopi
81,Dharma Ardyasa,"Tempat strategis, mungkin ada kesalahan manajemen kok sekarang banyak gerainya yg tutup atau dijual.."
82,Hani karunia Jelita,Bagus
83,Cindy Elisia,Parkir nyaman dan dekat bandara
84,Abang CA,Tampilan dalam mall tidak semegah tampilan di luar.
